epoch,step,train_loss_epoch,train_loss_step
0,132,,6.077495574951172
0,132,7.020303249359131,
1,265,,5.592029571533203
1,265,6.462489128112793,
2,398,,2.101536750793457
2,398,3.1235570907592773,
3,531,,1.6937246322631836
3,531,1.75448477268219,
4,664,,1.9328925609588623
4,664,1.6235986948013306,
5,797,,1.3077521324157715
5,797,1.4763602018356323,
6,930,,1.2161228656768799
6,930,1.3722738027572632,
7,1063,,1.1561017036437988
7,1063,1.2509911060333252,
8,1196,,1.2467398643493652
8,1196,1.1783249378204346,
9,1329,,1.090447187423706
9,1329,1.1651986837387085,
10,1462,,0.9404287338256836
10,1462,1.0971393585205078,
11,1595,,0.7708593010902405
11,1595,1.0472856760025024,
12,1728,,1.0295928716659546
12,1728,0.9863495826721191,
13,1861,,0.7798551321029663
13,1861,0.980914831161499,
14,1994,,0.6198850870132446
14,1994,0.9889916181564331,
15,2127,,0.9156354665756226
15,2127,0.961418092250824,
16,2260,,0.7969430685043335
16,2260,0.9277154207229614,
17,2393,,1.0820064544677734
17,2393,0.9287320971488953,
18,2526,,0.7799659371376038
18,2526,0.8987592458724976,
19,2659,,0.768896222114563
19,2659,0.8989150524139404,
20,2792,,1.2236926555633545
20,2792,0.8814234137535095,
21,2925,,0.8383765816688538
21,2925,0.8728636503219604,
22,3058,,1.008657693862915
22,3058,0.8822115659713745,
23,3191,,0.9914170503616333
23,3191,0.8939013481140137,
24,3324,,0.8610751628875732
24,3324,0.8543272018432617,
25,3457,,0.6877411603927612
25,3457,0.8617690205574036,
26,3590,,0.8317980766296387
26,3590,0.8341641426086426,
27,3723,,0.8382004499435425
27,3723,0.8424473404884338,
28,3856,,0.7197191715240479
28,3856,0.8702043890953064,
29,3989,,0.886711835861206
29,3989,0.8232935070991516,
30,4122,,0.7316704988479614
30,4122,0.8407149314880371,
31,4255,,0.7323662042617798
31,4255,0.8370733261108398,
32,4388,,0.9666891098022461
32,4388,0.8447344899177551,
33,4521,,0.8951007127761841
33,4521,0.8035425543785095,
34,4654,,0.6669261455535889
34,4654,0.8259515762329102,
35,4787,,0.8162509799003601
35,4787,0.8375604152679443,
36,4920,,0.9358306527137756
36,4920,0.8214343786239624,
37,5053,,1.106548547744751
37,5053,0.8057199120521545,
38,5186,,0.8636919856071472
38,5186,0.8207356929779053,
39,5319,,0.7535096406936646
39,5319,0.8096354603767395,
40,5452,,0.8267749547958374
40,5452,0.7995728850364685,
41,5585,,0.7860586643218994
41,5585,0.8196708559989929,
42,5718,,0.7505678534507751
42,5718,0.802238941192627,
43,5851,,0.9401721954345703
43,5851,0.80294269323349,
44,5984,,0.8032594919204712
44,5984,0.7986892461776733,
